""	"BR:MCF7"	"BR:MDA-MB-231"	"BR:HS 578T"	"BR:BT-549"	"BR:T-47D"	"CNS:SF-268"	"CNS:SF-295"	"CNS:SF-539"	"CNS:SNB-19"	"CNS:SNB-75"	"CNS:U251"	"CO:COLO 205"	"CO:HCC-2998"	"CO:HCT-116"	"CO:HCT-15"	"CO:HT29"	"CO:KM12"	"CO:SW-620"	"LE:CCRF-CEM"	"LE:HL-60(TB)"	"LE:K-562"	"LE:MOLT-4"	"LE:RPMI-8226"	"LE:SR"	"ME:LOX IMVI"	"ME:MALME-3M"	"ME:M14"	"ME:SK-MEL-2"	"ME:SK-MEL-28"	"ME:SK-MEL-5"	"ME:UACC-257"	"ME:UACC-62"	"ME:MDA-MB-435"	"ME:MDA-N"	"LC:A549/ATCC"	"LC:EKVX"	"LC:HOP-62"	"LC:HOP-92"	"LC:NCI-H226"	"LC:NCI-H23"	"LC:NCI-H322M"	"LC:NCI-H460"	"LC:NCI-H522"	"OV:IGROV1"	"OV:OVCAR-3"	"OV:OVCAR-4"	"OV:OVCAR-5"	"OV:OVCAR-8"	"OV:SK-OV-3"	"OV:NCI/ADR-RES"	"PR:PC-3"	"PR:DU-145"	"RE:786-0"	"RE:A498"	"RE:ACHN"	"RE:CAKI-1"	"RE:RXF 393"	"RE:SN12C"	"RE:TK-10"	"RE:UO-31"
"755775_1101NS89"	6.374043	5.908863	5.686073	5.816605	5.900339	6.170149	7.272919	6.634323	5.718073	6.551802	5.902058	6.550916	5.912827	6.265586	6.146667	6.475939	8	6.460307	NA	6.453532	7.380822	6.473602	NA	6.372006	6.33871	5.973035	6.365065	5.838204	5.990298	5.859831	6.325984	5.939287	6.520424	NA	6.337507	6.182266	6.098077	6.614948	6.395933	6.503115	5.757345	6.283343	5.836183	6.100331	5.900943	6.190742	6.068287	5.864038	5.77603	5.913405	5.61516	5.95108	5.823789	6.670838	6.334943	6.261894	6.36127	6.563367	5.843223	6.042629
"755775_1103RS21"	6.203092	5.84065	5.915432	5.664631	5.827919	5.963328	7.29644	6.446964	5.685446	6.963934	5.842749	6.47802	5.89967	6.165078	5.911686	6.544509	7.753055	6.47619	6.274618	7.116587	6.603491	6.01063	5.695552	5.689028	6.250692	6.196875	6.275215	5.843041	5.910585	5.866764	6.223318	5.874758	6.282273	NA	6.255021	5.687252	5.940499	NA	6.221677	6.330774	5.682778	6.208037	5.975928	5.884105	5.772845	6.062975	6.038194	5.828406	5.707685	5.870608	5.82843	5.682592	5.762837	8	6.171369	5.807518	6.297285	6.587693	6.12931	5.97167
"755983_1102NS97"	8	8	7.317788	NA	6.119427	8	7.859917	7.726058	8	8	8	8	8	8	6.949559	8	8	8	8	8	8	8	7.414653	8	8	5.818368	8	5.857092	8	7.869467	6.168293	8	8	NA	7.84329	4.854737	8	8	NA	8	5.276786	8	8	5.494505	8	6.579623	8	8	NA	6.185407	8	8	NA	7.395661	7.263333	6.264944	8	7.405858	6.431659	6.082422
"755983_1104RS35"	8	NA	7.862101	7.365838	7.189759	8	7.387852	7.567708	8	8	8	8	8	8	6.546008	8	8	8	8	8	8	8	7.117784	8	8	5.890132	NA	NA	7.923123	7.858277	7.416041	7.503793	8	NA	8	7.777126	8	7.78268	5.699863	8	7.879712	8	8	8	8	6.820059	8	8	8	6.824271	8	8	7.296979	7.921447	6.832834	6.377592	8	7.410815	7.765625	6.352322
"755983_1105NS41"	8	NA	8	7.399471	7.102122	8	7.919538	7.5791	8	7.855705	8	8	8	8	6.48412	NA	8	8	8	8	8	8	7.677678	8	8	5.883505	8	NA	8	8	7.372748	7.294465	8	NA	8	7.744318	8	7.693936	6.315493	8	8	8	8	7.745161	8	6.961634	NA	8	8	6.829312	8	8	7.394512	7.511332	NA	6.323731	8	7.409137	6.533784	6.166025
"756647_1103NS18"	5.836207	5.423212	5.88114	5.619772	7.063749	5.464498	6.031818	6.156211	5.636625	5.932931	6.038955	5.150652	NA	5.426314	4.9425	5.195619	6.27128	4.912951	NA	4.09418	NA	NA	NA	4.82752	4.947528	5.547286	4.894469	5.410633	5.544335	5.841273	4.989362	5.874404	5.179265	NA	5.651022	4.830621	5.777066	5.563976	5.60819	4.949664	5.026705	5.496408	6.346262	5.13627	5.041727	5.691914	4.66258	5.966497	5.293462	5.537234	5.28	4.963706	5.412489	4.938276	5.542155	5.077121	6.188095	5.356322	4.978587	5.296622
"756647_1105RS56"	5.543964	4.972922	5.86129	5.286817	NA	5.533886	5.956425	NA	5.286471	5.769663	6.014085	5.070645	4.851934	5.321735	4.752976	5.306753	6.277561	4.975507	NA	4.114832	NA	4.618308	6.440393	5.184729	5.517049	5.615244	5.247283	4.933096	5.203627	4.997872	5.101606	NA	5.148916	NA	5.159375	4.943224	5.674938	5.413086	5.334783	4.991016	5.004114	5.362061	5.745022	4.919222	5.317318	4.98107	NA	5.919125	4.975703	5.566609	5.389271	4.977602	5.677918	4.776974	5.375656	4.847719	6.006041	4.945498	4.88209	5.586433
"756652_1103NS18"	7.306379	5.190397	4.868778	5.184163	5.404224	4.862005	4.83904	4.925469	4.720794	5.738661	4.82937	6.611071	NA	5.082353	5.287572	7.014842	5.299656	5.312774	4.924697	6.345824	4.781971	4.990956	4.889748	4.795946	5.165943	5.144737	4.923029	4.811716	4.994452	5.551994	5.089516	4.966811	5.239476	NA	4.797773	4.873421	5.224458	7.565891	5.456056	4.984451	5.548619	5.5575	4.922036	4.686976	4.799966	5.245951	4.915956	4.954288	5.018841	4.932781	4.799464	5.066948	4.729292	5.348981	5.013733	5.279477	5.572289	4.893866	4.919756	5.548691
"756652_1105RS56"	6.520805	5.123542	4.85152	5.136291	NA	4.917501	4.967385	NA	4.686343	4.932905	4.916459	6.309524	5.173171	5.1886	5.402788	6.94391	5.432117	NA	5.08448	6.344303	4.989574	5.299264	5.477305	4.812181	5.094162	5.053982	4.956639	5.180987	4.850364	5.38953	5.401659	NA	5.447786	NA	5.160156	4.990938	5.256445	NA	5.403471	5.123227	5.747954	5.579021	4.918746	4.753178	4.848879	5.004297	NA	5.104662	4.946183	5.013271	4.992259	5.194351	4.919461	5.607696	5.243497	5.398154	5.289931	5.137892	4.921292	5.338092
"756656_1103NS18"	7.670445	4.962621	6.206697	5.793347	7.611702	4.865829	6.030864	5.833642	5.756337	7.866858	5.354522	5.84965	NA	5.002778	5.523002	5.82062	4.916063	4.818764	5.859446	4.873807	4.991889	5.681573	4.752586	4.739125	4.938615	NA	4.811542	4.740842	5.986293	5.873417	5.743078	5.868209	4.928469	NA	5.170792	4.977947	5.607259	7.702532	4.995872	4.872272	4.924743	6.064706	4.844441	6.730167	5.504139	5.862231	4.934261	4.869101	6.308114	4.866083	7.083501	4.862089	5.648804	7.210396	4.990502	5.372743	7.036982	5.017115	6.208042	5.890766
