""	"nsc_exp_name"	"nsc"	"experiment"	"used_in_zscore"
"752_9010AG40"	"752_9010AG40"	"752"	"9010AG40"	TRUE
"752_9010MD14"	"752_9010MD14"	"752"	"9010MD14"	TRUE
"752_9010NS67"	"752_9010NS67"	"752"	"9010NS67"	TRUE
"752_9010SA20"	"752_9010SA20"	"752"	"9010SA20"	TRUE
"752_9012AG54"	"752_9012AG54"	"752"	"9012AG54"	TRUE
"752_9012MD26"	"752_9012MD26"	"752"	"9012MD26"	TRUE
"752_9012NS82"	"752_9012NS82"	"752"	"9012NS82"	TRUE
"752_9012SA36"	"752_9012SA36"	"752"	"9012SA36"	TRUE
"752_9106SA84"	"752_9106SA84"	"752"	"9106SA84"	TRUE
"752_9106SM74"	"752_9106SM74"	"752"	"9106SM74"	TRUE
"752_9106SS69"	"752_9106SS69"	"752"	"9106SS69"	TRUE
"752_9108AG19"	"752_9108AG19"	"752"	"9108AG19"	TRUE
"752_9108SA02"	"752_9108SA02"	"752"	"9108SA02"	TRUE
"752_9108SM89"	"752_9108SM89"	"752"	"9108SM89"	TRUE
"752_9108SS93"	"752_9108SS93"	"752"	"9108SS93"	TRUE
"752_9110AG36"	"752_9110AG36"	"752"	"9110AG36"	TRUE
"752_9110SA17"	"752_9110SA17"	"752"	"9110SA17"	TRUE
"752_9110SM07"	"752_9110SM07"	"752"	"9110SM07"	TRUE
"752_9110SS21"	"752_9110SS21"	"752"	"9110SS21"	TRUE
"752_9112AG48"	"752_9112AG48"	"752"	"9112AG48"	TRUE
"752_9112SA29"	"752_9112SA29"	"752"	"9112SA29"	TRUE
"752_9112SM20"	"752_9112SM20"	"752"	"9112SM20"	TRUE
"752_9112SS42"	"752_9112SS42"	"752"	"9112SS42"	TRUE
"752_9202AG08"	"752_9202AG08"	"752"	"9202AG08"	TRUE
"752_9202SA43"	"752_9202SA43"	"752"	"9202SA43"	TRUE
"752_9202SM34"	"752_9202SM34"	"752"	"9202SM34"	TRUE
"752_9202SS63"	"752_9202SS63"	"752"	"9202SS63"	TRUE
"752_9204AG22"	"752_9204AG22"	"752"	"9204AG22"	TRUE
"752_9204SA61"	"752_9204SA61"	"752"	"9204SA61"	TRUE
"752_9204SM54"	"752_9204SM54"	"752"	"9204SM54"	TRUE
"752_9204SS88"	"752_9204SS88"	"752"	"9204SS88"	TRUE
"752_9206AG38"	"752_9206AG38"	"752"	"9206AG38"	TRUE
"752_9206SA76"	"752_9206SA76"	"752"	"9206SA76"	TRUE
"752_9206SM67"	"752_9206SM67"	"752"	"9206SM67"	TRUE
"752_9206SS08"	"752_9206SS08"	"752"	"9206SS08"	TRUE
"752_9208AG55"	"752_9208AG55"	"752"	"9208AG55"	TRUE
"752_9208SM84"	"752_9208SM84"	"752"	"9208SM84"	TRUE
"752_9208SS34"	"752_9208SS34"	"752"	"9208SS34"	TRUE
"752_9210AG71"	"752_9210AG71"	"752"	"9210AG71"	TRUE
"752_9210SA11"	"752_9210SA11"	"752"	"9210SA11"	TRUE
"752_9210SM02"	"752_9210SM02"	"752"	"9210SM02"	TRUE
"752_9210SS70"	"752_9210SS70"	"752"	"9210SS70"	TRUE
"752_9302AG08"	"752_9302AG08"	"752"	"9302AG08"	TRUE
"752_9302SA37"	"752_9302SA37"	"752"	"9302SA37"	TRUE
"752_9302SM27"	"752_9302SM27"	"752"	"9302SM27"	TRUE
"752_9304AG23"	"752_9304AG23"	"752"	"9304AG23"	TRUE
"752_9304SA53"	"752_9304SA53"	"752"	"9304SA53"	TRUE
"752_9304SM43"	"752_9304SM43"	"752"	"9304SM43"	TRUE
"752_9306SA72"	"752_9306SA72"	"752"	"9306SA72"	TRUE
"752_9306SM63"	"752_9306SM63"	"752"	"9306SM63"	TRUE
"752_9306SS75"	"752_9306SS75"	"752"	"9306SS75"	TRUE
"752_9308AG52"	"752_9308AG52"	"752"	"9308AG52"	TRUE
"752_9308SA85"	"752_9308SA85"	"752"	"9308SA85"	TRUE
"752_9308SM75"	"752_9308SM75"	"752"	"9308SM75"	TRUE
"752_9308SS97"	"752_9308SS97"	"752"	"9308SS97"	TRUE
"752_9310AG69"	"752_9310AG69"	"752"	"9310AG69"	TRUE
"752_9310SA03"	"752_9310SA03"	"752"	"9310SA03"	TRUE
"752_9310SM92"	"752_9310SM92"	"752"	"9310SM92"	TRUE
"752_9310SS33"	"752_9310SS33"	"752"	"9310SS33"	TRUE
"752_9312SA18"	"752_9312SA18"	"752"	"9312SA18"	TRUE
